city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Vadsø,Vadso,70.07,29.75,Norway,NO,NOR,Finnmark,minor,5642,1578863149
Balsfjord,Balsfjord,69.30,19.20,Norway,NO,NOR,Troms,,5559,1578210608
Hobøl,Hobol,59.59,10.95,Norway,NO,NOR,Østfold,minor,5382,1578211799
Trøgstad,Trogstad,59.65,11.34,Norway,NO,NOR,Østfold,minor,5347,1578028723
Frei,Frei,63.06,7.80,Norway,NO,NOR,Møre og Romsdal,,5274,1578639699
Hareid,Hareid,62.36,6.00,Norway,NO,NOR,Møre og Romsdal,minor,5140,1578673971
Austevoll,Austevoll,60.04,5.27,Norway,NO,NOR,Hordaland,,5276,1578262149
Birkenes,Birkenes,58.45,8.23,Norway,NO,NOR,Aust-Agder,,5274,1578848241
Hitra,Hitra,63.55,8.85,Norway,NO,NOR,Sør-Trøndelag,,5140,1578256856
Øyer,Oyer,61.27,10.41,Norway,NO,NOR,Oppland,minor,5093,1578988875
Sand,Sand,60.44,11.57,Norway,NO,NOR,Hedmark,,5038,1578403575
Svolvær,Svolvaer,68.23,14.57,Norway,NO,NOR,Nordland,minor,4686,1578516140
Finnsnes,Finnsnes,69.24,18.01,Norway,NO,NOR,Troms,minor,3907,1578015471
Kirkenes,Kirkenes,69.73,30.05,Norway,NO,NOR,Finnmark,minor,3529,1578657312
Rørvik,Rorvik,64.87,11.21,Norway,NO,NOR,Nord-Trøndelag,minor,2615,1578785320
Kaupanger,Kaupanger,61.18,7.24,Norway,NO,NOR,Sogn og Fjordane,,1012,1578815332
Holmestrand,Holmestrand,59.49,10.32,Norway,NO,NOR,Vestfold,,7514,1578081695
Vossevangen,Vossevangen,60.63,6.44,Norway,NO,NOR,Hordaland,,5571,1578107030
